,X,Y
655,3658807.6226782403,2071184.4058795657
656,3658816.225194621,2071283.7839462121
657,3658701.453594531,2068790.8267951845
658,3658710.040603259,2068890.092990613
659,3658718.6277516475,2068989.3592609658
660,3658727.1900098627,2069088.628235485
661,3658735.777437935,2069187.8946556277
662,3658744.3483195985,2069287.1629034716
663,3658752.936027232,2069386.4294733899
664,3658761.5713384347,2069486.358924365
665,3658770.1593264597,2069585.6256445383
666,3658778.747454143,2069684.892439584
667,3658787.31069421,2069784.1619385798
668,3658795.9097937113,2069883.5390592373
669,3658804.4816565095,2069982.8078316126
670,3658813.0703435717,2070082.0749261396
671,3658821.653178968,2070181.4540243207
672,3658830.2421457265,2070280.7212685898
673,3658838.806227059,2070379.9912166244
674,3658847.4168594345,2070479.478963355
675,3658856.010949118,2070578.9685378182
676,3658864.6111689126,2070678.346258259
677,3658873.200835256,2070777.6138770098
678,3658881.773959085,2070876.883323093
679,3658890.3639049837,2070976.1510914206
680,3658898.939661813,2071075.531740202
681,3658907.529887527,2071174.799658161
682,3658916.095231101,2071274.0702795875
683,3658924.7047711834,2071373.4476480104
684,3658933.270395181,2071472.718418995
685,3658801.3541934607,2068781.2240716973
686,3658809.9397478704,2068880.4903700326
687,3658818.530133647,2068979.9788464329
688,3658827.1373466905,2069079.4656454802
689,3658835.723320828,2069178.732168885
690,3658844.3034382015,2069278.110695255
691,3658852.889692005,2069377.377368516
692,3658861.476085451,2069476.644116674
693,3658870.048280597,2069576.0237442306
694,3658878.634953831,2069675.2906422054
695,3658887.1967393877,2069774.5602437323
696,3658895.7920345883,2069873.8264152014
697,3658904.3898176514,2069973.2037138785
698,3658913.013819683,2070073.0235448033
699,3658921.601192442,2070172.2908175522
700,3658930.197046671,2070271.5572889505
701,3658938.7513317554,2070370.8282160822
702,3658947.339123801,2070470.0957133002
703,3658955.9103725567,2070569.3650376634
704,3658964.4984441265,2070668.632684506
705,3658973.0866553364,2070767.9004061604
706,3658981.658323986,2070867.1699548871
707,3658990.2468147185,2070966.4378261229
708,3658998.8638834488,2071066.2592857564
709,3659007.460995252,2071165.5264308602
710,3659016.0605983003,2071264.9047040793
711,3659024.624627191,2071364.1755032043
712,3659033.2221579268,2071463.442872721
713,3658909.8901481736,2068871.3291602586
714,3658918.457701467,2068970.5973890703
715,3658927.0420814864,2069069.8639404639
716,3658935.626601133,2069169.1305667679
717,3658944.1945742797,2069268.399020248
718,3658952.7793734223,2069367.6657963395
719,3658961.3643121906,2069466.9326473244
720,3658969.977804955,2069566.75308112
721,3658978.563024031,2069666.0200822663
722,3658987.159071503,2069765.397334376
